24/10/2023 15:51:29 - RIO DE JANEIRO - 5004824-50.2021.4.02.9388 - Precatório registrado com sucesso - https://eproc.trf2.jus.br/
24/10/2023 15:52:36 - RIO DE JANEIRO - 5002603-60.2022.4.02.9388 - Precatório registrado com sucesso - https://eproc.trf2.jus.br/
24/10/2023 15:54:11 - RIO DE JANEIRO - 5003211-58.2022.4.02.9388 - Precatório registrado com sucesso - https://eproc.trf2.jus.br/
24/10/2023 15:55:16 - RIO DE JANEIRO - 5003211-58.2022.4.02.9388 - Precatório registrado com sucesso - https://eproc.trf2.jus.br/
24/10/2023 15:56:17 - RIO DE JANEIRO - 5003493-96.2022.4.02.9388 - Precatório registrado com sucesso - https://eproc.trf2.jus.br/
24/10/2023 16:10:39 - RIO DE JANEIRO - 5004824-50.2021.4.02.9388 - Precatório registrado com sucesso - https://eproc.trf2.jus.br/
24/10/2023 16:13:51 - RIO DE JANEIRO - 5002603-60.2022.4.02.9388 - Precatório registrado com sucesso - https://eproc.trf2.jus.br/
24/10/2023 16:33:18 - RIO DE JANEIRO - 5023794-98.2021.4.02.9388 - Precatório registrado com sucesso - https://eproc.trf2.jus.br/
24/10/2023 17:06:55 - RIO DE JANEIRO - 5023794-98.2021.4.02.9388 - Precatório registrado com sucesso - https://eproc.trf2.jus.br/
24/10/2023 17:07:40 - RIO DE JANEIRO - 5023846-94.2021.4.02.9388 - Precatório registrado com sucesso - https://eproc.trf2.jus.br/
24/10/2023 17:09:19 - RIO DE JANEIRO - 5023863-33.2021.4.02.9388 - Precatório registrado com sucesso - https://eproc.trf2.jus.br/
24/10/2023 17:11:02 - RIO DE JANEIRO - 5023863-33.2021.4.02.9388 - Precatório registrado com sucesso - https://eproc.trf2.jus.br/
24/10/2023 17:11:59 - RIO DE JANEIRO - 5023929-13.2021.4.02.9388 - Precatório registrado com sucesso - https://eproc.trf2.jus.br/
24/10/2023 17:12:37 - RIO DE JANEIRO - 5023929-13.2021.4.02.9388 - Precatório registrado com sucesso - https://eproc.trf2.jus.br/
24/10/2023 17:12:58 - RIO DE JANEIRO - 5023994-08.2021.4.02.9388 - Precatório registrado com sucesso - https://eproc.trf2.jus.br/
24/10/2023 17:13:18 - RIO DE JANEIRO - 5024059-03.2021.4.02.9388 - Precatório registrado com sucesso - https://eproc.trf2.jus.br/
24/10/2023 17:13:59 - RIO DE JANEIRO - 5024059-03.2021.4.02.9388 - Precatório registrado com sucesso - https://eproc.trf2.jus.br/
24/10/2023 17:18:21 - RIO DE JANEIRO - 5025466-44.2021.4.02.9388 - Precatório registrado com sucesso - https://eproc.trf2.jus.br/
25/10/2023 09:47:42 - RIO DE JANEIRO - 5025466-44.2021.4.02.9388 - Precatório registrado com sucesso - https://eproc.trf2.jus.br/
25/10/2023 09:48:30 - RIO DE JANEIRO - 5025479-43.2021.4.02.9388 - Precatório registrado com sucesso - https://eproc.trf2.jus.br/
25/10/2023 09:50:16 - RIO DE JANEIRO - 5025523-62.2021.4.02.9388 - Precatório registrado com sucesso - https://eproc.trf2.jus.br/
25/10/2023 09:57:01 - RIO DE JANEIRO - 5025575-58.2021.4.02.9388 - Precatório registrado com sucesso - https://eproc.trf2.jus.br/
25/10/2023 09:57:59 - RIO DE JANEIRO - 5025575-58.2021.4.02.9388 - Precatório registrado com sucesso - https://eproc.trf2.jus.br/
25/10/2023 09:58:31 - RIO DE JANEIRO - 5025637-98.2021.4.02.9388 - Precatório registrado com sucesso - https://eproc.trf2.jus.br/
25/10/2023 09:58:54 - RIO DE JANEIRO - 5025725-39.2021.4.02.9388 - Precatório registrado com sucesso - https://eproc.trf2.jus.br/
25/10/2023 09:59:15 - RIO DE JANEIRO - 5027184-76.2021.4.02.9388 - Precatório registrado com sucesso - https://eproc.trf2.jus.br/
25/10/2023 10:01:59 - RIO DE JANEIRO - 5027184-76.2021.4.02.9388 - Precatório registrado com sucesso - https://eproc.trf2.jus.br/
25/10/2023 10:02:18 - RIO DE JANEIRO - 5027213-29.2021.4.02.9388 - Precatório registrado com sucesso - https://eproc.trf2.jus.br/
25/10/2023 10:02:37 - RIO DE JANEIRO - 5027213-29.2021.4.02.9388 - Precatório registrado com sucesso - https://eproc.trf2.jus.br/
25/10/2023 10:05:36 - RIO DE JANEIRO - 5027425-50.2021.4.02.9388 - Precatório registrado com sucesso - https://eproc.trf2.jus.br/
25/10/2023 10:07:06 - RIO DE JANEIRO - 5027425-50.2021.4.02.9388 - Precatório registrado com sucesso - https://eproc.trf2.jus.br/
25/10/2023 10:17:58 - RIO DE JANEIRO - 5025466-44.2021.4.02.9388 - Precatório registrado com sucesso - https://eproc.trf2.jus.br/
26/10/2023 10:37:24 - PARANÁ - 5026111-49.2020.4.04.9388 - Precatório registrado com sucesso - https://eproc.trf2.jus.br/
26/10/2023 10:39:04 - PARANÁ - 5026113-19.2020.4.04.9388 - Precatório registrado com sucesso - https://eproc.trf2.jus.br/
26/10/2023 11:33:45 - PARANÁ - 5026111-49.2020.4.04.9388 - Precatório registrado com sucesso - https://eproc.trf2.jus.br/
26/10/2023 11:34:51 - PARANÁ - 5026113-19.2020.4.04.9388 - Precatório registrado com sucesso - https://eproc.trf2.jus.br/
26/10/2023 11:35:49 - PARANÁ - 5026114-04.2020.4.04.9388 - Precatório registrado com sucesso - https://eproc.trf2.jus.br/
26/10/2023 11:36:32 - PARANÁ - 5026114-04.2020.4.04.9388 - Precatório registrado com sucesso - https://eproc.trf2.jus.br/
26/10/2023 11:39:22 - PARANÁ - 5028810-13.2020.4.04.9388 - Precatório registrado com sucesso - https://eproc.trf2.jus.br/
26/10/2023 11:40:30 - PARANÁ - 5028810-13.2020.4.04.9388 - Precatório registrado com sucesso - https://eproc.trf2.jus.br/
26/10/2023 17:18:41 - PARANÁ - 5031975-34.2021.4.04.9388 - Precatório registrado com sucesso - https://eproc.trf4.jus.br/eproc2trf4
26/10/2023 17:29:27 - PARANÁ - 5031975-34.2021.4.04.9388 - Precatório registrado com sucesso - https://eproc.trf4.jus.br/eproc2trf4
31/10/2023 10:26:07 - SÃO PAULO - 0103414-45.2006.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
31/10/2023 10:26:59 - SÃO PAULO - 0103414-45.2006.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
31/10/2023 10:28:18 - SÃO PAULO - 0103414-45.2006.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
31/10/2023 10:28:30 - SÃO PAULO - 0103414-45.2006.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 16:56:29 - SÃO PAULO - 1050142-60.2022.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 16:57:50 - SÃO PAULO - 1050142-60.2022.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:42:44 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:43:38 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:44:44 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:45:03 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:45:18 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:46:27 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:46:59 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:47:06 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:47:14 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:47:21 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:47:29 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:48:07 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:48:14 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:48:32 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:48:40 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:48:48 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:48:56 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:49:04 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:49:11 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:49:19 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:49:27 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:49:34 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:49:42 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:49:49 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:49:56 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:50:03 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:50:10 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:50:18 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:50:26 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:50:45 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:50:53 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:51:21 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:51:38 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:51:48 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:51:56 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:52:03 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
03/11/2023 17:52:10 - SÃO PAULO - 1012597-19.2023.8.26.0053 - Precatório registrado com sucesso - https://esaj.tjac.jus.br
